description,category
Supply and installation of wooden door frame 900x2100mm with panelled shutter including all accessories,Civil
Installation of PCC 1:4:8 plain cement concrete 75mm thick for flooring base as per approved make,Civil
Supply and erection of data outlet RJ45 Cat6 with patch panel including all accessories,Electrical
Supplying exhaust air fan centrifugal type 500mm with motor as per IS standards,HVAC
Supply and erection of return air duct galvanized steel with filter with all fittings,HVAC
Providing and fixing lightning arrester mesh type for high rise building including testing and commissioning,Other
Rate for nurse call system wired for hospital ward complete in all respects,Other
Supply and fixing of exhaust fan 300mm with wiring and timer as directed by engineer,Electrical
Providing and laying air valve 50mm for distribution network,Plumbing
Supplying and laying sound system 5.1 channel for classroom complete in all respects,Other
Installation and commissioning of fire pump test header with drain valve as per IS standards,Fire
Installation of non return valve 15mm for pump discharge including testing and commissioning,Plumbing
Installation and commissioning of bar screen for collection tank automatic as per drawing,PHE
Supply and installation of fire alarm sounder electromechanical 105dB as directed by engineer,Fire
Supplying data outlet RJ45 Cat6A with face plate as per approved make,Electrical
Supplying sludge pump 3HP centrifugal as per IS standards,PHE
Supplying and fixing fire pump vertical turbine 10HP with suction strainer complete in all respects,Fire
Supply and installation of compound wall in concrete block masonry with exposed finish as per drawing,Civil
Supply and erection of precision AC unit 3TR for data center with warranty,HVAC
Installation of AHU 10TR vertical with mixing box including all accessories,HVAC
Supply and erection of non return valve 40mm for solar heater with all fittings,Plumbing
Providing and fixing nurse call system wireless for ICU including testing and commissioning,Other
Supplying and fixing baggage scanner CT scan for airport,Other
Installation and commissioning of passenger lift 15 person MRL including testing and commissioning,Other
Rate for kitchen faucet wall mounted with ceramic cartridge as directed by engineer,Plumbing
Providing towel ring brushed nickel for guest toilet with warranty,Plumbing
Supply and erection of semi-recessed wash basin with bottle trap with all fittings,Plumbing
Supplying and fixing quarter turn bib cock 15mm CP including all accessories,Plumbing
Providing and fixing dewatering pump 2HP for excavation complete in all respects,PHE
Supply and installation of intercom system audio for hospital as directed by engineer,Other
Rate for DG set 82.5KVA open with AMF panel including testing and commissioning,Other
Installation and commissioning of heat pump water source 15TR for pool heating complete in all respects,HVAC
Installation of towel ring brushed nickel for kitchen wall as per IS standards,Plumbing
Providing PPR pipe 25mm for hot water supply including labour and material,Plumbing
Supply and erection of pendant light pole mounted with halogen lamp as per drawing,Electrical
Supplying and laying GI duct 22 gauge for exhaust air including testing and commissioning,HVAC
Supply and installation of copper pipe 1/4 inch for medical gas as directed by engineer,Other
Supplying and fixing package AC unit 5TR wall mounted with duct connection as directed by engineer,HVAC
Supply and fixing of concealed stop cock 25mm with ceramic cartridge as per IS standards,Plumbing
Supplying pillar cock tall body for garden tap as per drawing,Plumbing
Installation of ceiling rose and batten holder for decorative light as per IS standards,Electrical
Supplying and laying motorized rolling shutter GI for warehouse,Other
Supplying and laying network switch 16 port managed including testing and commissioning,Other
Providing and installing chlorination system UV for cooling tower with warranty,PHE
Providing fire sprinkler piping 80mm SS with grooved couplings including all accessories,Fire
Supplying LED troffer light 36W suspended mounted including labour and material,Electrical
Supply and erection of duct insulation 25mm glass wool with canvas cloth including all accessories,HVAC
Installation and commissioning of HDPE pipe 200mm for effluent as per drawing,PHE
Supply and erection of surface drainage channel 150mm polymer concrete including labour and material,PHE
Installation of wet riser system piping 100mm with pressure gauge as per IS standards,Fire
Supplying compound wall in stone masonry with plastering including all accessories,Civil
Providing and installing soak pit 1m dia 1.5m deep including all accessories,PHE
Supplying and laying pressure reducing valve 40mm for high rise building as per drawing,Plumbing
Providing and fixing foam fire extinguisher 9L for chemical store including testing and commissioning,Fire
Providing step light pole mounted with LED lamp as per IS standards,Electrical
Providing and fixing compound wall in stone masonry with coping stone including testing and commissioning,Civil
Installation of aluminium transfer air grille 1200x300mm as per IS standards,HVAC
Supply and fixing of fire hose reel with 15m hose complete in all respects,Fire
Providing and installing swimming pool filtration system with pump with all fittings,Other
Supplying and fixing air valve 25mm for rising main as per drawing,Plumbing
Supply and erection of programmable timer switch for staircase lighting as per approved make,Electrical
Supplying and fixing wooden door frame 1200x2100mm with semi-solid shutter including labour and material,Civil
Supply and erection of submersible sewage pump 5HP with guide rail with warranty,PHE
Supplying and fixing ceramic wall tile 300x450mm for utility area as per drawing,Civil
Supplying vibration isolator rubber type for pump as per drawing,HVAC
Supplying and laying gypsum board partition 125mm with rockwool infill as per drawing,Civil
Providing and laying wet riser system piping 80mm with landing valve as directed by engineer,Fire
Installation and commissioning of pillar cock swan neck for garden tap including labour and material,Plumbing
Installation of backflow preventer 150mm for drainage as per IS standards,PHE
Supply and erection of standpipe system 80mm for mall including testing and commissioning,Fire
Supplying and fixing battery bank 42AH tubular for DG starting with warranty,Other
Providing and fixing three way motorized valve for FCU control as per drawing,HVAC
Providing and laying motorized backdraft damper 400x300mm as per approved make,HVAC
Supply and erection of drainage pipe 250mm PVC for surface drainage with all fittings,PHE
Installation and commissioning of pipe support channel type for condenser water as per approved make,HVAC
Providing and fixing storage water heater 50L with timer with warranty,Plumbing
Supply and installation of LED tube light 36W with emergency battery including all accessories,Electrical
Supply and erection of bar screen for pump station manual as per approved make,PHE
Installation and commissioning of fire sprinkler flow switch 65mm for pump start including labour and material,Fire
Installation and commissioning of expansion joint filler board 25mm for road pavement,Civil
Supplying drainage pipe 250mm HDPE for surface drainage including testing and commissioning,PHE
Providing earth filling and compaction in 250mm layers with murum as per specification,Civil
Providing and laying RCC raft foundation M35 grade with reinforcement including testing and commissioning,Civil
Supply and erection of interlocking paver block 60mm thick for footpath including all accessories,Civil
Supplying and laying motorized screen 150 inch for home theater,Other
Providing and fixing 3 phase DB with MCB and RCCB 250A incomer including labour and material,Electrical
Supplying and fixing kitchen hood exhaust aluminium with fire suppression with warranty,Other
Providing and installing fire pump controller panel star delta with manual start as per approved make,Fire
Providing and fixing cement fibre board for partition wall as per drawing,Civil
Rate for waterproof membrane for swimming pool with APP membrane as directed by engineer,Civil
Rate for fire sprinkler sidewall type for office area as per approved make,Fire
Installation and commissioning of rainwater harvesting recharge well for garden irrigation complete in all respects,PHE
Supplying and laying stone masonry random rubble wall with cement mortar as directed by engineer,Civil
Providing and laying RCCB 100A 2 pole for earth leakage protection,Electrical
Supply and erection of hand shower 200mm with diverter,Plumbing
Rate for urinal with sensor flush valve,Plumbing
Providing under counter wash basin with mixer tap as per specification,Plumbing
Supply and erection of vent pipe 110mm CI,PHE
Supplying and fixing non return valve 80mm for sewage line with all fittings,PHE
Providing and fixing GI pipe 50mm for distribution,Plumbing
Providing dewatering pump 3HP for excavation with all fittings,PHE
Supply and installation of gas suppression system argon for switchgear room with all fittings,Fire
Supplying and fixing ACP cladding 5mm for building facade including all accessories,Other
Installation of fire hose reel with 30m hose with all fittings,Fire
Supply and fixing of thermal insulation 25mm polyethylene for equipment complete in all respects,HVAC
Providing and installing concealed shower mixer with hand shower as per approved make,Plumbing
Supply and erection of long body bib cock 20mm CP complete in all respects,Plumbing
Supply and installation of drainage pipe 160mm DWC for surface drainage as per specification,PHE
Providing and fixing PVC pipe 110mm for rainwater pipe,Plumbing
Installation and commissioning of thermal insulation 32mm elastomeric for equipment as per drawing,HVAC
Providing and fixing air washer unit 1000 CFM for air washing complete in all respects,HVAC
Supply and fixing of quarter turn bib cock 15mm brass as per specification,Plumbing
Providing and fixing chilled water pump vertical inline 5HP including all accessories,HVAC
Installation and commissioning of PVC pipe 160mm for kitchen waste including testing and commissioning,Plumbing
Supplying and laying differential pressure switch for duct pressure as per IS standards,HVAC
Supplying dry cooler 150KW for free cooling,HVAC
Providing and installing fire damper 400x300mm with fusible link as per IS standards,Fire
Installation and commissioning of fire pump suction pipe 200mm with butterfly valve with warranty,Fire
Providing and fixing fire damper 800x400mm with fusible link including testing and commissioning,Fire
Providing and installing metal detector door frame for court with warranty,Other
Supplying and laying wall mixer with telephonic shower including testing and commissioning,Plumbing
Providing HDPE pipe 63mm for borewell connection including all accessories,Plumbing
Supply and erection of RCC drain 600x450mm with removable cover as per specification,PHE
Providing sump pump 5HP for basement drainage including all accessories,PHE
Providing UPS system 10KVA modular as per drawing,Other
Supply and erection of cable tray 200mm wide solid bottom with supports,Electrical
Supplying and fixing queue management system for government office as directed by engineer,Other
Installation and commissioning of European style WC with soft close seat with warranty,Plumbing
Providing standpipe system 80mm for high rise,Fire
Supply and erection of modular switch plate 2 module with mounting plate including labour and material,Electrical
Supply and erection of vent pipe 50mm HDPE as per approved make,PHE
Supplying and fixing condensate pump for indoor unit,HVAC
Installation and commissioning of lightning arrester with down conductor and earth pit including all accessories,Electrical
Supply and erection of data outlet RJ45 Cat6A with keystone jack complete in all respects,Electrical
Rate for cable termination and jointing for armoured cable as per approved make,Electrical
Supplying and laying fire hydrant hose 63mm 30m percolating as per drawing,Fire
Supplying and fixing EPABX system 8 port for hotel as per specification,Other
Providing and laying health faucet with SS braided hose as per approved make,Plumbing
Supplying and laying automatic swing door for main entrance,Other
Installation of toughened glass partition 15mm for reception including testing and commissioning,Civil
Supply and erection of fire hydrant underground valve 150mm as per specification,Fire
Providing and installing PVC gully trap 75mm for balcony,PHE
Providing packaged STP 50KLD containerized as per specification,PHE
Procurement and installation of video door phone colour for hospital as per specification,Other
Supply and installation of fire pump controller panel DOL with flow switch including all accessories,Fire
Supplying strainer valve 32mm Y type for water main complete in all respects,Plumbing
Providing and installing centrifugal pump 10HP for backwash with warranty,PHE
Installation of sprinkler head upright type 141C rating with warranty,Fire
Supply and installation of ACP cladding 3mm for signage board as per specification,Other
Supplying stone masonry coursed rubble wall with cement mortar as per IS standards,Civil
Providing and laying gas suppression system FM200 for switchgear room with warranty,Fire
Providing and fixing portable fire extinguisher DCP 4kg including testing and commissioning,Fire
Supplying earthing system with GI electrode 3m long as per drawing,Electrical
Supplying and fixing toughened glass partition 10mm for conference room as per approved make,Civil
Supplying and fixing floor drain 150mm CI grating as directed by engineer,PHE
Supply and installation of changeover switch 100A 4 pole automatic including all accessories,Electrical
Providing steel reinforcement Fe550 for retaining wall,Civil
Rate for servo stabilizer 50KVA for laboratory as per IS standards,Electrical
Supply and fixing of water treatment system for cooling tower with warranty,HVAC
Providing and laying DWC pipe 300mm for cable protection complete in all respects,PHE
Procurement and installation of gypsum board false ceiling with GI grid framework,Civil
Supply and fixing of cable laying PVC 4 core 50 sqmm as per IS standards,Electrical
Supplying two way bib cock 15mm for garden hose with all fittings,Plumbing
Supply and erection of SS floor drain 200mm square complete in all respects,PHE
Supply and erection of fire door closer overhead for smoke door with warranty,Fire
Supplying and laying daylight sensor switch for toilet lighting as per IS standards,Electrical
Providing and installing earthing system with chemical electrode 3m long with all fittings,Electrical
Supply and installation of water meter 20mm ultrasonic for bulk metering as per approved make,Plumbing
Installation of anti termite treatment for ground floor with all fittings,Civil
Supplying HDPE geomembrane 1.5mm for landfill with all fittings,PHE
Supply and fixing of pipe support channel type for steam with warranty,HVAC
Supplying and fixing rimless style WC with soft close seat including labour and material,Plumbing
Installation and commissioning of structured cabling fibre optic for data center as per drawing,Other
Supply and fixing of ceiling cassette AC unit 3 ton with drain pump including all accessories,HVAC
Providing and installing boom barrier crash rated for toll plaza complete in all respects,Other
Supply and erection of vitrified tile 300x300mm for office flooring as per specification,Civil
Installation of cable management system cable tray for data center,Other
Installation and commissioning of earthing system with chemical electrode 2m long as per specification,Electrical
Supplying and laying energy recovery ventilator 500 CFM with controls,HVAC
Supplying and fixing fire fighting pump house piping 100mm GI with warranty,Fire
Procurement and installation of MS railing for terrace with polished finish including all accessories,Civil
Providing and installing UPS power socket with separate circuit as per drawing,Electrical
Providing exterior acrylic texture paint 3 coats for boundary wall as per approved make,Civil
Supplying APFC panel for power factor correction 10 step with warranty,Electrical
Supplying and fixing VRV outdoor unit 20HP for mall with all fittings,Other
Providing and fixing septic tank 1000L RCC as per drawing,PHE
Providing and fixing RCC raft foundation M35 grade with reinforcement as directed by engineer,Civil
Supply and erection of energy recovery ventilator 500 CFM with controls with warranty,HVAC
Supply and erection of ACP cladding 6mm for signage board complete in all respects,Other
Supply and erection of rainwater downpipe 150mm CI as per IS standards,PHE
Supply and erection of split AC unit 3 ton 4 star fixed speed as per IS standards,HVAC
Rate for fire suppression Novec 1230 system for server room as per specification,Fire
Supply and erection of ACP cladding 4mm for signage board with warranty,Other
Rate for fire exit signage photoluminescent running man with all fittings,Fire
Providing and laying RCCB 63A 4 pole for earth leakage protection including all accessories,Electrical
Providing changeover switch 32A 3 pole automatic as per specification,Electrical
Providing and fixing cement fibre board for partition wall as per IS standards,Civil
Installation and commissioning of vitrified tile 1000x1000mm for living room flooring as directed by engineer,Civil
Supply and fixing of toughened glass partition 15mm for office as per IS standards,Civil
Supply and erection of servo stabilizer 25KVA for sensitive equipment including all accessories,Electrical
Rate for dry type transformer 250KVA with metering including testing and commissioning,Electrical
Supply and erection of LED display board scrolling for facade with warranty,Other
Providing and installing chilled water piping 150mm PPR with insulation as per approved make,HVAC
Installation of non return valve 50mm for hot water line including all accessories,Plumbing
Rate for compound wall in stone masonry with exposed finish complete in all respects,Civil
Supply and erection of canvas duct connector for misalignment correction including testing and commissioning,HVAC
Supply and erection of automatic gate sliding for main gate including all accessories,Other
Supplying and fixing canvas duct connector for thermal expansion including all accessories,HVAC
Supply and fixing of towel ring brushed nickel for guest toilet,Plumbing
Supplying and fixing grease trap 750L FRP for canteen as per specification,PHE
Rate for programmable timer switch for facade lighting with warranty,Electrical
Providing and fixing waterproof membrane for water tank with liquid membrane as per IS standards,Civil
Providing fire alarm hooter cum strobe conventional including labour and material,Fire
Supplying and laying GI pipe 20mm for overhead tank connection as per drawing,Plumbing
Rate for motorized screen 120 inch for auditorium as per approved make,Other
Procurement and installation of cable termination and crimping for LT cable including all accessories,Electrical
Installation and commissioning of bar screen for STP inlet manual with all fittings,PHE
Supply and erection of wall putty 2 coats and emulsion paint for columns including all accessories,Civil
Supply and installation of inspection chamber 600x600mm PP as directed by engineer,PHE
Supply and fixing of stone cladding 25mm for lift lobby including testing and commissioning,Civil
Supplying and laying telephone outlet dual port with face plate as directed by engineer,Electrical
Supplying and fixing rodding eye 110mm for maintenance access as per IS standards,PHE
Supplying and fixing FRP door frame and shutter for bathroom as directed by engineer,Civil
Providing and fixing fire hydrant landing valve 63mm single outlet as per drawing,Fire
Procurement and installation of server rack 18U open frame with cable management with warranty,Other
Supplying and fixing LED flood light 300W for parking as per approved make,Electrical
Supplying fire pump test header with flow meter as per specification,Fire
Providing and fixing LED tube light 18W with prismatic cover complete in all respects,Electrical
Supplying aluminium return air grille 450x200mm including all accessories,HVAC
Supply and erection of PVC gully trap 75mm for bathroom with warranty,PHE
Supplying exterior weather coat paint 2 coats for external walls as per drawing,Civil
Supplying and laying solar water heater 100LPD ETC as per approved make,Other
Installation and commissioning of three way motorized valve for chiller bypass with all fittings,HVAC
Supplying and laying differential pressure switch for filter monitoring as per specification,HVAC
Providing storage water heater 6KW with digital display as per drawing,Plumbing
Supplying marble flooring 20mm thick polished for lobby including all accessories,Civil
Supplying and fixing ceramic wall tile 300x450mm for kitchen with all fittings,Civil
Providing and laying precast concrete kerb stone along parking area as per drawing,Civil
Providing and fixing ceiling mounted return air grille 225x225mm with all fittings,HVAC
Supplying and fixing septic tank 5000L HDPE as directed by engineer,PHE
Providing and fixing GI pipe 40mm for distribution with warranty,Plumbing
Installation of EV charging station 11KW AC slow with all fittings,Other
Supplying fire resistant paint coating for cable tray as per drawing,Fire
Installation and commissioning of effluent treatment plant 100KLD for chemical including testing and commissioning,PHE
Supply and fixing of 3 phase DB with ACB 160A incomer as directed by engineer,Electrical
Supplying single flush flush cistern for floor mounted WC including testing and commissioning,Plumbing
Providing and laying modular switch plate 16 module with cover plate as per IS standards,Electrical
Supplying precision AC unit 7TR for UPS room as per drawing,HVAC
Supplying and fixing manual call point for fire alarm break glass including testing and commissioning,Fire
Providing and installing condensate pump for AHU as per specification,HVAC
Supply and erection of copper refrigerant piping 5/8 inch with insulation as per approved make,HVAC
Rate for PVC pipe 160mm for kitchen waste as per IS standards,Plumbing
Rate for water meter 20mm multijet for apartment metering as per specification,Plumbing
Procurement and installation of septic tank 3000L RCC with warranty,PHE
Providing and installing DWC pipe 100mm for sewage including testing and commissioning,PHE
Supplying and fixing distribution board 6 way SPN with MCCB with all fittings,Electrical
Procurement and installation of fire blanket 1.2x1.2m for kitchen including all accessories,Fire
Supplying pedestal wash basin with wall hung frame,Plumbing
Providing and laying electronic dimmer switch for CFL lights,Electrical
Supplying and fixing fire door closer hydraulic for staircase door with all fittings,Fire
Supplying and laying yard hydrant underground 80mm including testing and commissioning,Fire
Supplying and laying 3 phase DB with ACB 250A incomer with warranty,Electrical
Rate for gate valve 40mm gun metal for branch line with all fittings,Plumbing
Installation and commissioning of wet riser system piping 100mm with landing valve as per specification,Fire
Procurement and installation of flush cock 32mm push button for squatting pan including testing and commissioning,Plumbing
Supply and erection of PA public address system wall speaker for factory as per drawing,Other
Supply and fixing of copper refrigerant piping 1/4 inch with insulation as directed by engineer,HVAC
Providing and installing water meter 25mm electromagnetic for commercial metering,Plumbing
Rate for grab bar 300mm chrome plated for hospital toilet as directed by engineer,Plumbing
Providing and installing intercom system wireless for apartment with warranty,Other
Supply and installation of submersible pump 1HP for borewell as per approved make,Plumbing
Providing and fixing data outlet RJ45 Cat7 with patch panel as per specification,Electrical
Providing and installing bollard light recessed with LED lamp as per specification,Electrical
Rate for sewage ejector pump 3HP for lift pit,PHE
Supplying fire hose cabinet SS with first aid kit with warranty,Fire
Supply and erection of VRV outdoor unit 18HP for hospital as per IS standards,Other
Providing and installing return air duct galvanized steel with filter as directed by engineer,HVAC
Installation and commissioning of primer coat and enamel paint for MS railing as per IS standards,Civil
Supply and erection of SS floor drain 250mm round including labour and material,PHE
Supply and erection of HDPE pipe 75mm for borewell connection as per IS standards,Plumbing
Providing and laying rainwater harvesting first flush diverter for groundwater recharge including labour and material,PHE
Providing and laying kota stone flooring 30mm thick for corridor with warranty,Civil
Supply and erection of cable laying XLPE 2 core 1.5 sqmm including all accessories,Electrical
Supplying digital signage 86 inch for reception as per drawing,Other
Providing steel reinforcement Fe415 for retaining wall,Civil
Providing gate valve 65mm gun metal for branch line including labour and material,Plumbing
Supply and erection of damp proof course with liquid applied membrane including labour and material,Civil
Supplying and fixing centrifugal pump 1HP for irrigation with all fittings,PHE
Supply and installation of grease trap 1000L HDPE for restaurant including testing and commissioning,PHE
Providing and laying fire pump test header with pressure gauge complete in all respects,Fire
Supply and installation of air release valve 25mm for gravity main as per approved make,PHE
Installation of pipe support spring hanger type for refrigerant with warranty,HVAC
Supply and fixing of water tank float valve 25mm brass as per approved make,Plumbing
Supply and fixing of cast resin transformer 63KVA with metering including all accessories,Electrical
Procurement and installation of structured cabling Cat6A for data center as per IS standards,Other
Providing and installing vessel wash basin with brackets including all accessories,Plumbing
Supply and fixing of cooling tower steel cross flow 80TR capacity as per specification,HVAC
Supplying and laying fire fighting pump house piping 100mm SS with all fittings,Fire
Providing and laying video door phone IP based for hospital as per approved make,Other
Installation of fire door closer concealed for fire rated door as per specification,Fire
Installation and commissioning of anodized aluminium door with door closer,Civil
Supply and erection of electronic dimmer switch for incandescent lights with all fittings,Electrical
Procurement and installation of aspirating smoke detection system for clean room as per drawing,Fire
Rate for pre-laminated particle board shoe rack with fittings with all fittings,Civil
Supply and erection of vitrified tile 600x600mm for reception flooring as per approved make,Civil
Procurement and installation of telephone outlet RJ45 with face plate as directed by engineer,Electrical
Installation of ceramic wall tile 250x375mm for toilet including all accessories,Civil
Supply and fixing of pressurization fan for lift lobby 10000 CFM including all accessories,HVAC
Providing and fixing access control system biometric for office with all fittings,Other
Supplying jet water supply pump 2HP as per approved make,Plumbing
Supply and installation of fire brigade inlet connection 63mm 4 way including labour and material,Fire
Supplying and fixing boom barrier electromechanical for parking entrance as per approved make,Other
Supplying and laying HDPE pipe 63mm for irrigation as per approved make,Plumbing
Supplying and fixing bus bar trunking system 630A aluminium,Electrical
Supply and installation of SS floor drain 250mm square including labour and material,PHE
Providing and laying landscape irrigation drip for lawn complete in all respects,Other
Installation and commissioning of heat detector rate of rise for generator room including labour and material,Fire
Supply and installation of fire door closer overhead for staircase door complete in all respects,Fire
Rate for ceramic wall tile 200x300mm for toilet including labour and material,Civil
Providing and installing package AC unit 5TR floor standing with economizer including testing and commissioning,HVAC
Supply and installation of fire rated door 4 hour rating with panic bar including all accessories,Fire
Providing and installing damp proof course with liquid applied membrane including testing and commissioning,Civil
Providing and laying chilled water pump centrifugal end suction 5HP as per IS standards,HVAC
Providing and laying fire resistant paint coating for steel structure including labour and material,Fire
Supplying and fixing formwork for RCC columns using aluminium shuttering as directed by engineer,Civil
Installation and commissioning of heat pump air source 5TR for heating as per IS standards,HVAC
Supply and installation of manual call point for fire alarm addressable complete in all respects,Fire
Supply and fixing of fire survival cable 2.5 sqmm 8 core as directed by engineer,Electrical
Supply and fixing of canvas duct connector for vibration isolation as directed by engineer,HVAC
Installation and commissioning of HDPE pipe 20mm for water supply main including labour and material,Plumbing
Providing and fixing electronic fan regulator for wall mounted fan including all accessories,Electrical
Providing and laying storm water drain pipe 300mm PVC,PHE
Installation and commissioning of rodding eye 150mm for cleaning access with warranty,PHE
Supply and fixing of two way bib cock 15mm for utility sink with all fittings,Plumbing
Supplying and fixing fire hydrant hose 50mm 15m synthetic as per specification,Fire
Supplying fire pump test header with pressure gauge with warranty,Fire
Supply and fixing of fire rated cable 1.5mm for control circuit including testing and commissioning,Fire
Providing and installing mirror light ceiling mounted with LED lamp as per specification,Electrical
Supplying and fixing anodized aluminium door with door closer with all fittings,Civil
Providing copper refrigerant piping 7/8 inch with insulation including testing and commissioning,HVAC
Supply and installation of fire rated glass partition 1 hour for lobby with warranty,Fire
Supply and installation of exterior cement based paint 3 coats for parapet with all fittings,Civil
Supply and installation of water tank float valve 32mm gun metal including all accessories,Plumbing
Supply and erection of storage water heater 100L with plumbing connections as per approved make,Plumbing
Supply and erection of RCC retaining wall M35 grade with reinforcement as directed by engineer,Civil
Providing chilled water pump vertical inline 30HP as per specification,HVAC
Supply and erection of fire rated door 3 hour rating with hardware including labour and material,Fire
Supply and erection of copper pipe 1/4 inch for chilled water complete in all respects,Other
Supplying and fixing stone masonry random rubble wall with cement mortar as per IS standards,Civil
Rate for formwork for RCC slabs using aluminium shuttering with warranty,Civil
Supplying and laying ACP cladding 6mm for building facade as per IS standards,Other
Rate for UPS power socket with isolated circuit including testing and commissioning,Electrical
Installation of condensate drain pipe 32mm HDPE with trap as per approved make,HVAC
Procurement and installation of cooling tower steel 100TR including all accessories,Other
Providing fire sprinkler sidewall type for basement parking as per drawing,Fire
Providing and installing PVC gully trap 110mm for bathroom including all accessories,PHE
Providing and installing terrazzo flooring 20mm thick with brass strips as per approved make,Civil
Supply and fixing of access control system retina scan for parking as per IS standards,Other
Supply and installation of fan coil unit 4 pipe ceiling concealed with all fittings,HVAC
Providing and installing aluminium fresh air air grille 900x300mm complete in all respects,HVAC
Supply and fixing of gym equipment flooring rubber for yoga room as per IS standards,Other
Supplying and fixing gas suppression system FM200 for archive,Fire
Providing and fixing nurse call system IP based for old age home as per specification,Other
Supply and erection of AHU 5TR vertical with heating coil as per specification,HVAC
Supply and fixing of sludge pump 2HP peristaltic complete in all respects,PHE
Providing and installing angle valve 20mm chrome plated for water heater as per approved make,Plumbing
Supply and erection of terrazzo flooring 20mm thick with brass strips with warranty,Civil
Installation of children WC vitreous china with flush valve as per IS standards,Plumbing
Supplying and laying anti termite treatment for basement as per specification,Civil
Installation of chilled water piping 80mm copper with insulation with all fittings,HVAC
Installation of aeration system brush aerator for STP aeration tank,PHE
Supplying and laying epoxy flooring 5mm thick for warehouse including labour and material,Civil
Providing gravel filter bed for borewell recharge as per IS standards,PHE
Supplying STP control panel relay based with alarm system as per drawing,Other
Supply and fixing of elevator goods 13 person MRL including labour and material,Other
Supplying nahani trap 75mm PVC as per approved make,PHE
Supply and erection of interlocking paver block 60mm thick for garden path as per specification,Civil
Providing and fixing FRP door frame and shutter for utility room including all accessories,Civil
Supply and erection of wet riser system piping 100mm with drain valve with all fittings,Fire
Procurement and installation of sump pump 1.5HP for lift pit including testing and commissioning,PHE
Providing and fixing foam fire extinguisher 50L for paint shop including testing and commissioning,Fire
Installation of fire resistant paint coating for duct with all fittings,Fire
Supply and installation of ceiling cassette AC unit 2.5 ton with decorative panel as per specification,HVAC
Providing and laying fire exit signage self-luminous running man as per IS standards,Fire
Providing and installing cooling tower hybrid 500TR,Other
Supply and fixing of overhead water tank in RCC M30 grade 20000L capacity,Civil
Supplying and laying circuit breaker 25A SP for heater as per drawing,Electrical
Rate for LED tube light 18W with reflector as per approved make,Electrical
Installation of smoke exhaust fan jet fan 400 degree rated,HVAC
Providing and fixing server rack 18U floor standing with cable management including testing and commissioning,Other
Supply and installation of heat detector rate of rise for laundry as per drawing,Fire
Providing and laying LED flood light 50W for sports ground complete in all respects,Electrical
Supplying FRP door frame and shutter for toilet with all fittings,Civil
Providing and fixing semi-recessed wash basin with pedestal as per drawing,Plumbing
Supply and fixing of flush cock 32mm sensor for squatting pan as directed by engineer,Plumbing
Installation of PVC pipe 110mm for basin waste as per specification,Plumbing
Supply and fixing of concrete block 100mm lightweight for partition wall with warranty,Civil
Supply and erection of projector 5000 lumens with short throw as directed by engineer,Other
Providing and fixing PA public address system horn speaker for mall with all fittings,Other
Supplying and laying inspection chamber 300x300mm PP including all accessories,PHE
Providing and installing PCC 1:4:8 plain cement concrete 150mm thick for flooring base including testing and commissioning,Civil
Providing and installing anti termite treatment for foundation with warranty,Civil
Installation of fire hydrant landing valve 63mm single outlet complete in all respects,Fire
Supplying and laying brick masonry 345mm thick in cement mortar 1:4 for internal walls including all accessories,Civil
Supply and erection of urinal with push button flush valve,Plumbing
Installation and commissioning of drainage pipe 75mm CI for subsoil drainage as per drawing,PHE
Supplying and fixing wooden door frame 750x2100mm with semi-solid shutter including all accessories,Civil
Supply and fixing of sand filter 600mm for rainwater filtration as per approved make,PHE
Installation of sand filter 1200mm for STP tertiary treatment including labour and material,PHE
Providing and installing power outlet 32A with flush back box and earth,Electrical
Supply and installation of LED flood light 100W for sports ground including all accessories,Electrical
Rate for water level sensor for collection tank including labour and material,PHE
Supply and fixing of gate valve 25mm gun metal for water main control as per specification,Plumbing
Providing and laying digital signage 43 inch for lobby as per approved make,Other
Rate for concealed stop cock 25mm with wall flange as per approved make,Plumbing
Installation of solar water heater 500LPD ETC as per drawing,Other
Providing and installing grab bar 300mm SS 304 for elderly bathroom including labour and material,Plumbing
Rate for storage water heater 10L with safety valve with all fittings,Plumbing
Providing and fixing swirl diffuser 1200mm as per approved make,HVAC
Supplying and fixing IBMS integration for all building systems as per drawing,Other
Procurement and installation of BMS controller for fire alarm monitoring as per drawing,HVAC
Installation and commissioning of sewage ejector pump 2HP for below grade drainage as directed by engineer,PHE
Supply and erection of wet riser system piping 100mm with drain valve as per approved make,Fire
Providing lightning arrester conventional for high rise building as per specification,Other
Providing and fixing RCC retaining wall M30 grade with reinforcement including testing and commissioning,Civil
Supply and erection of LED display board outdoor for conference room as per IS standards,Other
Supply and fixing of bottle trap 40mm SS for kitchen sink as directed by engineer,Plumbing
Providing and fixing kitchen sink single bowl SS with soap dispenser including labour and material,Plumbing
Supply and installation of bar grille 600x300mm aluminium as per IS standards,HVAC
Procurement and installation of FRP door frame and shutter for store room as per IS standards,Civil
Providing and laying automatic telescopic door for hotel including testing and commissioning,Other
Installation and commissioning of gym equipment flooring rubber for yoga room,Other
Supplying and fixing FR PVC insulated wire 1 sqmm in conduit as directed by engineer,Electrical
Supplying battery bank 12AH gel for solar including all accessories,Other
Procurement and installation of VRV outdoor unit 16HP for office building including all accessories,Other
Providing and fixing energy recovery ventilator 2000 CFM with controls including labour and material,HVAC
